Time_hh:mm:ss,Date,Line,Timestamp__ms_,Total_field_anomaly__nT_,Longitude__°_,Latitude__°_,Easting,Northing,Altitude__m_,Time,interpolated_magnetic_reading,diurnal_correction_magnetic,Heading_deg,FlightDirection_deg,directional_bias_huber,direction_corrected_huber,micro_bias_sg,TMI_micro_sg
2022-10-09 13:32:56,2022-10-09,18,19975507,42083.835999999996,101.88723103319,4.59395927058521,820386.03119,508428.40735,468.5,2022-10-09 13:32:56,42024.97295697653,58.863043023462524,359.26514662269693,0,-67.04112,125.90417,-5.0,130.90417
2022-10-09 13:32:57,2022-10-09,18,19976507,42088.248,101.887230824977,4.59399596762704,820385.99166,508432.46876,468.4,2022-10-09 13:32:57,42024.99541181767,63.25258818233124,359.44235360495884,0,-67.04112,130.2937,-5.0,135.2937
2022-10-09 13:32:58,2022-10-09,18,19977507,42091.996999999996,101.887230736006,4.59403489465101,820385.96437,508436.77704,468.4,2022-10-09 13:32:58,42025.01595184858,66.98104815141414,359.63707537171007,0,-67.04112,134.02217,-5.0,139.02217
2022-10-09 13:32:59,2022-10-09,18,19978507,42094.212,101.887230708901,4.59407616677873,820385.94291,508441.3449,468.4,2022-10-09 13:32:59,42025.034393048496,69.17760695150355,359.7308239788442,0,-67.04112,136.21872,-5.0,141.21872
2022-10-09 13:33:00,2022-10-09,18,19979507,42092.771,101.887230639473,4.59411954347148,820385.9158,508446.14566,468.45,2022-10-09 13:33:00,42025.050595852896,67.720404147105,359.676452879655,0,-67.04112,134.76154,-5.0,139.76154
2022-10-09 13:33:01,2022-10-09,18,19980507,42088.197,101.887230629062,4.59416422759868,820385.89467,508451.09115,468.5,2022-10-09 13:33:01,42025.064449656835,63.13255034316535,359.75520070714464,0,-67.04112,130.17368,-5.0,135.17368
2022-10-09 13:33:02,2022-10-09,18,19981507,42080.519,101.887230686098,4.59420955113912,820385.88074,508456.10744,468.45,2022-10-09 13:33:02,42025.075863740196,55.443136259804305,359.84089274119674,0,-67.04112,122.48426,-5.0,127.48426
2022-10-09 13:33:03,2022-10-09,18,19982507,42069.498999999996,101.887230666303,4.59425522286764,820385.85812,508461.16223,468.4,2022-10-09 13:33:03,42025.084775455536,44.41422454446001,359.74360519723274,0,-67.04112,111.455345,-5.0,116.455345
2022-10-09 13:33:04,2022-10-09,18,19983507,42056.134000000005,101.887230542856,4.59430041064846,820385.82421,508466.16341,468.45,2022-10-09 13:33:04,42025.091146548926,31.04285345107928,359.61151765986256,0,-67.04112,98.08398,-5.0,103.08398
2022-10-09 13:33:05,2022-10-09,18,19984507,42042.598,101.887230430988,4.59434427082782,820385.79217,508471.01767,468.45,2022-10-09 13:33:05,42025.09497552708,17.503024472920515,359.6218311100374,0,-67.04112,84.54414,-5.0,89.54414
2022-10-09 13:33:06,2022-10-09,18,19985507,42029.335999999996,101.887230472146,4.59438715358656,820385.77757,508475.76381,468.4,2022-10-09 13:33:06,42025.096286200096,4.239713799899619,359.8237481949574,0,-67.04112,71.28084,-5.0,76.28084
2022-10-09 13:33:07,2022-10-09,18,19986507,42011.719,101.887230708423,4.59443030850127,820385.78451,508480.54016,468.65,2022-10-09 13:33:07,42025.09512750986,-13.37612750986591,0.08325027050756262,0,-67.04112,53.664993,-5.0,58.664993
2022-10-09 13:33:08,2022-10-09,18,19987507,41981.395000000004,101.887231303288,4.59447453190017,820385.83081,508485.43494,469.76,2022-10-09 13:33:08,42025.09157636598,-43.69657636597549,0.5419478450775728,0,-67.04112,23.344547,-5.0,28.344547
2022-10-09 13:33:09,2022-10-09,18,19988507,41948.566,101.887232093956,4.59451885978154,820385.8988,508490.34136,470.96,2022-10-09 13:33:09,42025.08573002681,-76.51973002681189,0.7939170983603958,0,-67.04112,-9.478607,-5.0,-4.478607
2022-10-09 13:33:10,2022-10-09,18,19989507,41913.085999999996,101.887232382004,4.59456206209469,820385.91147,508495.12298,472.16,2022-10-09 13:33:10,42025.07769652832,-111.99169652832643,0.1518179680295475,0,-67.04112,-44.950577,-5.0,-39.950577
2022-10-09 13:33:11,2022-10-09,18,19990507,41876.726,101.887232361138,4.59460372929865,820385.89052,508499.73456,473.51,2022-10-09 13:33:11,42025.06759018638,-148.3415901863773,359.73971213222427,0,-67.04112,-81.30046,-5.0,-76.30046
