Time_hh:mm:ss,Date,Line,Timestamp__ms_,Total_field_anomaly__nT_,Longitude__°_,Latitude__°_,Easting,Northing,Altitude__m_
2022-10-07 16:46:02,2022-10-07,2,31561553,41740.497,101.882955857696,4.5938805206975,819911.2664,508417.77504,501.8
2022-10-07 16:46:03,2022-10-07,2,31562553,41740.074,101.882955947375,4.59391284099988,819911.26193,508421.35217,500.0
2022-10-07 16:46:04,2022-10-07,2,31563553,41739.493,101.882956426257,4.5939452051918,819911.30067,508424.93434,498.3
2022-10-07 16:46:05,2022-10-07,2,31564553,41738.815,101.882956617656,4.59397716770716,819911.30766,508428.47192,496.7
2022-10-07 16:46:06,2022-10-07,2,31565553,41738.021,101.882956235668,4.59400848652473,819911.25125,508431.938,495.3
2022-10-07 16:46:07,2022-10-07,2,31566553,41737.87,101.882955663082,4.59403952274004,819911.17381,508435.37272,493.9
2022-10-07 16:47:15,2022-10-07,3,31635355,41809.86,101.883219969372,4.59434393260523,819940.39163,508469.18212,479.9
2022-10-07 16:47:16,2022-10-07,3,31635555,41810.598,101.883219881863,4.59434078934465,819940.38331,508468.83419,479.9
2022-10-07 16:47:17,2022-10-07,3,31636555,41811.947,101.883219425352,4.59432467935297,819940.33981,508467.05099,479.8
2022-10-07 16:47:18,2022-10-07,3,31637555,41812.493,101.883218941237,4.59430781551117,819940.29357,508465.18435,479.4
2022-10-07 16:47:19,2022-10-07,3,31638555,41813.967,101.883218386114,4.59429016096083,819940.2398,508463.23015,479.2
2022-10-07 16:47:20,2022-10-07,3,31639555,41814.831,101.883217732916,4.59427188292841,819940.17542,508461.20692,479.1
2022-10-07 16:47:21,2022-10-07,3,31640555,41815.866,101.883217155645,4.59425323215898,819940.11964,508459.14246,479.0
2022-10-07 16:47:22,2022-10-07,3,31641555,41816.971,101.88321684589,4.59423452394514,819940.09359,508457.07176,478.9
2022-10-07 16:47:23,2022-10-07,3,31642555,41818.113,101.883216626615,4.59421608842429,819940.07747,508455.03128,478.8
2022-10-07 16:47:24,2022-10-07,3,31643555,41819.416000000005,101.88321609253,4.59419775430182,819940.02634,508453.00189,478.7
2022-10-07 16:47:25,2022-10-07,3,31644555,41820.887,101.883215385582,4.59417915527644,819939.95613,508450.9431,478.7
2022-10-07 16:47:26,2022-10-07,3,31645555,41822.172,101.883214591339,4.5941600809233,819939.87644,508448.83166,478.7
2022-10-07 16:47:27,2022-10-07,3,31646555,41823.441999999995,101.883213870146,4.59414026938314,819939.80519,508446.63867,478.5
2022-10-07 16:47:28,2022-10-07,3,31647555,41824.653000000006,101.883213550317,4.59412000204681,819939.77871,508444.39541,478.4
2022-10-07 16:47:29,2022-10-07,3,31648555,41826.575,101.883213476753,4.5940993726922,819939.77976,508442.1122,478.3
2022-10-07 16:47:30,2022-10-07,3,31649555,41828.205,101.883213516354,4.59407786123849,819939.79376,508439.7314,478.2
2022-10-07 16:47:31,2022-10-07,3,31650555,41829.226,101.883213475546,4.59405486922226,819939.79949,508437.18671,478.1
2022-10-07 16:47:32,2022-10-07,3,31651555,41830.582,101.883213460462,4.59403063770477,819939.80863,508434.50485,478.1
2022-10-07 16:47:33,2022-10-07,3,31652555,41832.65,101.883213477017,4.59400562387281,819939.82164,508431.73641,478.0
2022-10-07 16:47:34,2022-10-07,3,31653555,41834.549,101.883213388397,4.59397990150233,819939.82328,508428.88951,478.0
2022-10-07 16:47:35,2022-10-07,3,31654556,41836.095,101.883212927269,4.5939531549168,819939.78401,508425.92909,478.0
2022-10-07 16:47:36,2022-10-07,3,31655556,41837.489,101.883211994527,4.5939251438575,819939.69293,508422.82851,477.9
2022-10-07 16:47:37,2022-10-07,3,31656556,41838.5,101.88321080772,4.59389602843071,819939.57412,508419.60559,477.8
2022-10-07 16:47:38,2022-10-07,3,31657556,41840.117000000006,101.883209790568,4.59386600918574,819939.47456,508416.28271,477.6
2022-10-07 16:47:39,2022-10-07,3,31658556,41841.281,101.883209077002,4.59383524689402,819939.40904,508412.87773,477.4
2022-10-07 16:47:40,2022-10-07,3,31659556,41843.244,101.883208725911,4.5938037330397,819939.38412,508409.38973,476.9
2022-10-07 16:47:41,2022-10-07,3,31660556,41843.884999999995,101.883208595108,4.59377148096999,819939.38399,508405.82013,476.5
