Time,interpolated_magnetic_reading
2022-10-07 08:56:00,41974.33785614882
2022-10-07 08:56:01,41974.3390205421
2022-10-07 08:56:02,41974.34133700002
2022-10-07 08:56:03,41974.344781031214
2022-10-07 08:56:04,41974.34931686809
2022-10-07 08:56:05,41974.35489847833
2022-10-07 08:56:06,41974.36147106282
2022-10-07 08:56:07,41974.36897277964
2022-10-07 08:56:08,41974.377336240585
2022-10-07 08:56:09,41974.38649034563
2022-10-07 08:56:10,41974.39636233447
2022-10-07 08:56:11,41974.40687931017
2022-10-07 08:56:12,41974.417969276794
2022-10-07 08:56:13,41974.42956275532
2022-10-07 08:56:14,41974.44159424312
2022-10-07 08:56:15,41974.45400280832
2022-10-07 08:56:16,41974.466732412904
2022-10-07 08:56:17,41974.479731969026
2022-10-07 08:56:18,41974.49295544832
2022-10-07 08:56:19,41974.50636167657
2022-10-07 08:56:20,41974.51989764461
2022-10-07 08:56:21,41974.53303461487
2022-10-07 08:56:22,41974.540361608146
2022-10-07 08:56:23,41974.525384068445
2022-10-07 08:56:24,41974.49169513728
2022-10-07 08:56:25,41974.47654815227
2022-10-07 08:56:26,41974.4837236353
2022-10-07 08:56:27,41974.49685092346
2022-10-07 08:56:28,41974.51054164651
2022-10-07 08:56:29,41974.5242720161
2022-10-07 08:56:30,41974.53798487324
2022-10-07 08:56:31,41974.55162951154
2022-10-07 08:56:32,41974.56515866479
2022-10-07 08:56:33,41974.57852140077
2022-10-07 08:56:34,41974.59167375064
2022-10-07 08:56:35,41974.60456405879
2022-10-07 08:56:36,41974.61712270784
2022-10-07 08:56:37,41974.62928301299
2022-10-07 08:56:38,41974.6409898523
2022-10-07 08:56:39,41974.65219382431
2022-10-07 08:56:40,41974.662843515755
2022-10-07 08:56:41,41974.67289509146
2022-10-07 08:56:42,41974.68231616741
2022-10-07 08:56:43,41974.69108643209
2022-10-07 08:56:44,41974.699203972494
2022-10-07 08:56:45,41974.70667992211
2022-10-07 08:56:46,41974.71354258947
2022-10-07 08:56:47,41974.71983899965
2022-10-07 08:56:48,41974.725630043176
2022-10-07 08:56:49,41974.7309979308
2022-10-07 08:56:50,41974.73604248393
2022-10-07 08:56:51,41974.74087108199
2022-10-07 08:56:52,41974.7456019528
2022-10-07 08:56:53,41974.75034923992
2022-10-07 08:56:54,41974.75522690369
2022-10-07 08:56:55,41974.760348776756
2022-10-07 08:56:56,41974.765822686415
2022-10-07 08:56:57,41974.771735004906
2022-10-07 08:56:58,41974.77814832206
2022-10-07 08:56:59,41974.78510270193
2022-10-07 08:57:00,41974.79261473816
2022-10-07 08:57:01,41974.80067719472
2022-10-07 08:57:02,41974.80924904793
2022-10-07 08:57:03,41974.81826324784
2022-10-07 08:57:04,41974.82762975862
2022-10-07 08:57:05,41974.837239650435
2022-10-07 08:57:06,41974.84696288025
2022-10-07 08:57:07,41974.856658003395
2022-10-07 08:57:08,41974.86617581103
2022-10-07 08:57:09,41974.87535935991
2022-10-07 08:57:10,41974.8840529936
2022-10-07 08:57:11,41974.892118019685
2022-10-07 08:57:12,41974.8994243988
2022-10-07 08:57:13,41974.90586079331
2022-10-07 08:57:14,41974.9113388673
2022-10-07 08:57:15,41974.915793915345
2022-10-07 08:57:16,41974.91918283196
2022-10-07 08:57:17,41974.92149103246
2022-10-07 08:57:18,41974.922737280926
2022-10-07 08:57:19,41974.9229595109
2022-10-07 08:57:20,41974.92221290452
2022-10-07 08:57:21,41974.92057873392
2022-10-07 08:57:22,41974.91814665848
2022-10-07 08:57:23,41974.91501712446
2022-10-07 08:57:24,41974.91130646622
2022-10-07 08:57:25,41974.90713311609
2022-10-07 08:57:26,41974.90260514153
2022-10-07 08:57:27,41974.8978241372
2022-10-07 08:57:28,41974.89288952591
2022-10-07 08:57:29,41974.88789273265
2022-10-07 08:57:30,41974.882906193045
2022-10-07 08:57:31,41974.87798390759
2022-10-07 08:57:32,41974.873159875104
2022-10-07 08:57:33,41974.86845378933
2022-10-07 08:57:34,41974.86387777774
2022-10-07 08:57:35,41974.85942754372
2022-10-07 08:57:36,41974.855079775014
2022-10-07 08:57:37,41974.85080094233
2022-10-07 08:57:38,41974.846554907555
2022-10-07 08:57:39,41974.84229641891
2022-10-07 08:57:40,41974.8379750023
2022-10-07 08:57:41,41974.833543844055
2022-10-07 08:57:42,41974.82897273102
2022-10-07 08:57:43,41974.824235560285
2022-10-07 08:57:44,41974.81930444104
2022-10-07 08:57:45,41974.81415939028
2022-10-07 08:57:46,41974.808806097084
2022-10-07 08:57:47,41974.803267870695
2022-10-07 08:57:48,41974.79757044406
2022-10-07 08:57:49,41974.79174824954
2022-10-07 08:57:50,41974.785858934934
2022-10-07 08:57:51,41974.77997097867
2022-10-07 08:57:52,41974.77415899779
2022-10-07 08:57:53,41974.76850367642
2022-10-07 08:57:54,41974.76308690265
2022-10-07 08:57:55,41974.75799822159
2022-10-07 08:57:56,41974.753320858596
2022-10-07 08:57:57,41974.7491348184
2022-10-07 08:57:58,41974.745524322825
2022-10-07 08:57:59,41974.74255945011
2022-10-07 08:58:00,41974.74028873529
2022-10-07 08:58:01,41974.73875070953
2022-10-07 08:58:02,41974.73799082179
2022-10-07 08:58:03,41974.73803632331
2022-10-07 08:58:04,41974.73889488742
2022-10-07 08:58:05,41974.740562869854
2022-10-07 08:58:06,41974.74303374648
2022-10-07 08:58:07,41974.74628523126
2022-10-07 08:58:08,41974.75028151716
2022-10-07 08:58:09,41974.75499137562
2022-10-07 08:58:10,41974.76038369414
2022-10-07 08:58:11,41974.766418256004
2022-10-07 08:58:12,41974.773042879664
2022-10-07 08:58:13,41974.780209603625
2022-10-07 08:58:14,41974.787878044386
2022-10-07 08:58:15,41974.79600223492
2022-10-07 08:58:16,41974.80453347617
2022-10-07 08:58:17,41974.8134368914
2022-10-07 08:58:18,41974.822683093254
2022-10-07 08:58:19,41974.83223107182
2022-10-07 08:58:20,41974.842042680764
2022-10-07 08:58:21,41974.85209515602
2022-10-07 08:58:22,41974.862359162864
2022-10-07 08:58:23,41974.87280158847
2022-10-07 08:58:24,41974.88340006866
2022-10-07 08:58:25,41974.894133337046
2022-10-07 08:58:26,41974.904973294244
2022-10-07 08:58:27,41974.91589216779
2022-10-07 08:58:28,41974.92685825304
2022-10-07 08:58:29,41974.937841634775
2022-10-07 08:58:30,41974.94881084355
2022-10-07 08:58:31,41974.959736786506
2022-10-07 08:58:32,41974.970587382566
2022-10-07 08:58:33,41974.98132690628
2022-10-07 08:58:34,41974.991920377215
2022-10-07 08:58:35,41975.002321332395
2022-10-07 08:58:36,41975.01249508774
2022-10-07 08:58:37,41975.02242333702
2022-10-07 08:58:38,41975.032071035195
2022-10-07 08:58:39,41975.04140402575
2022-10-07 08:58:40,41975.05040962882
2022-10-07 08:58:41,41975.05906527309
2022-10-07 08:58:42,41975.06734459802
2022-10-07 08:58:43,41975.07524737129
2022-10-07 08:58:44,41975.08278600749
2022-10-07 08:58:45,41975.08997135103
2022-10-07 08:58:46,41975.096811757874
2022-10-07 08:58:47,41975.10331955257
2022-10-07 08:58:48,41975.10952353931
2022-10-07 08:58:49,41975.11546685783
2022-10-07 08:58:50,41975.121185337855
2022-10-07 08:58:51,41975.126706556955
2022-10-07 08:58:52,41975.132067019666
2022-10-07 08:58:53,41975.13731436238
2022-10-07 08:58:54,41975.142485650744
2022-10-07 08:58:55,41975.147620084164
2022-10-07 08:58:56,41975.15275718864
2022-10-07 08:58:57,41975.15792813617
2022-10-07 08:58:58,41975.163161860706
2022-10-07 08:58:59,41975.168479641434
2022-10-07 08:59:00,41975.17390817648
2022-10-07 08:59:01,41975.17946162098
2022-10-07 08:59:02,41975.18514114947
2022-10-07 08:59:03,41975.19095188165
2022-10-07 08:59:04,41975.19689649029
2022-10-07 08:59:05,41975.202976172266
2022-10-07 08:59:06,41975.209179399375
2022-10-07 08:59:07,41975.21549092725
2022-10-07 08:59:08,41975.22190003242
2022-10-07 08:59:09,41975.22838980221
2022-10-07 08:59:10,41975.234947130346
2022-10-07 08:59:11,41975.24154870501
2022-10-07 08:59:12,41975.248158551
2022-10-07 08:59:13,41975.254746812876
2022-10-07 08:59:14,41975.261295251395
2022-10-07 08:59:15,41975.267776122826
2022-10-07 08:59:16,41975.27415269178
2022-10-07 08:59:17,41975.28037870415
2022-10-07 08:59:18,41975.28641091571
2022-10-07 08:59:19,41975.29221308642
2022-10-07 08:59:20,41975.29774543788
2022-10-07 08:59:21,41975.30296897479
2022-10-07 08:59:22,41975.307833927545
2022-10-07 08:59:23,41975.3122807529
2022-10-07 08:59:24,41975.31626056282
2022-10-07 08:59:25,41975.319726001006
2022-10-07 08:59:26,41975.322630208844
2022-10-07 08:59:27,41975.32493342806
2022-10-07 08:59:28,41975.32659165434
2022-10-07 08:59:29,41975.32757179637
2022-10-07 08:59:30,41975.32785583162
2022-10-07 08:59:31,41975.32742137477
2022-10-07 08:59:32,41975.32626049305
2022-10-07 08:59:33,41975.32438578852
2022-10-07 08:59:34,41975.321811293834
2022-10-07 08:59:35,41975.31856384788
2022-10-07 08:59:36,41975.31468593485
2022-10-07 08:59:37,41975.31022612953
2022-10-07 08:59:38,41975.30524240213
2022-10-07 08:59:39,41975.29981680704
2022-10-07 08:59:40,41975.29404200431
2022-10-07 08:59:41,41975.28800175864
2022-10-07 08:59:42,41975.28178838542
2022-10-07 08:59:43,41975.2755031017
2022-10-07 08:59:44,41975.269241509835
2022-10-07 08:59:45,41975.26309666605
2022-10-07 08:59:46,41975.25716550704
2022-10-07 08:59:47,41975.25153991107
2022-10-07 08:59:48,41975.24629880458
2022-10-07 08:59:49,41975.241512687884
