Time,interpolated_magnetic_reading
2022-10-09 08:52:00,42005.145874883325
2022-10-09 08:52:01,42005.14496083622
2022-10-09 08:52:02,42005.14312816679
2022-10-09 08:52:03,42005.14036813557
2022-10-09 08:52:04,42005.13666889003
2022-10-09 08:52:05,42005.132016880714
2022-10-09 08:52:06,42005.12639848727
2022-10-09 08:52:07,42005.119801981644
2022-10-09 08:52:08,42005.11221985452
2022-10-09 08:52:09,42005.10365119291
2022-10-09 08:52:10,42005.094103989315
2022-10-09 08:52:11,42005.08359702305
2022-10-09 08:52:12,42005.07216127954
2022-10-09 08:52:13,42005.05984134705
2022-10-09 08:52:14,42005.04669664035
2022-10-09 08:52:15,42005.032801830996
2022-10-09 08:52:16,42005.018246175554
2022-10-09 08:52:17,42005.00313220852
2022-10-09 08:52:18,42004.98757405785
2022-10-09 08:52:19,42004.97169514444
2022-10-09 08:52:20,42004.95563996662
2022-10-09 08:52:21,42004.93999962034
2022-10-09 08:52:22,42004.92988553521
2022-10-09 08:52:23,42004.94063343605
2022-10-09 08:52:24,42004.968833661194
2022-10-09 08:52:25,42004.979848992305
2022-10-09 08:52:26,42004.970240429386
2022-10-09 08:52:27,42004.955308293975
2022-10-09 08:52:28,42004.94014212423
2022-10-09 08:52:29,42004.925308180274
2022-10-09 08:52:30,42004.91091172712
2022-10-09 08:52:31,42004.89703404233
2022-10-09 08:52:32,42004.88374648841
2022-10-09 08:52:33,42004.871095534334
2022-10-09 08:52:34,42004.859120381225
2022-10-09 08:52:35,42004.8478586103
2022-10-09 08:52:36,42004.837325676206
2022-10-09 08:52:37,42004.827519973864
2022-10-09 08:52:38,42004.818440490366
2022-10-09 08:52:39,42004.81008233586
2022-10-09 08:52:40,42004.80242421379
2022-10-09 08:52:41,42004.79545094166
2022-10-09 08:52:42,42004.789157230654
2022-10-09 08:52:43,42004.78353256403
2022-10-09 08:52:44,42004.77857239306
2022-10-09 08:52:45,42004.774276720425
2022-10-09 08:52:46,42004.77065018404
2022-10-09 08:52:47,42004.767702865494
2022-10-09 08:52:48,42004.765460199545
2022-10-09 08:52:49,42004.763954489514
2022-10-09 08:52:50,42004.763213117025
2022-10-09 08:52:51,42004.76326911806
2022-10-09 08:52:52,42004.764155718905
2022-10-09 08:52:53,42004.765897033736
2022-10-09 08:52:54,42004.7685156605
2022-10-09 08:52:55,42004.772031440756
2022-10-09 08:52:56,42004.776452640974
2022-10-09 08:52:57,42004.781769734065
2022-10-09 08:52:58,42004.787961583075
2022-10-09 08:52:59,42004.79499983745
2022-10-09 08:53:00,42004.80283270227
2022-10-09 08:53:01,42004.81138662399
2022-10-09 08:53:02,42004.82057595991
2022-10-09 08:53:03,42004.83030277092
2022-10-09 08:53:04,42004.84045469178
2022-10-09 08:53:05,42004.850904417224
2022-10-09 08:53:06,42004.861515210956
2022-10-09 08:53:07,42004.87213490127
2022-10-09 08:53:08,42004.882604148675
2022-10-09 08:53:09,42004.892765945726
2022-10-09 08:53:10,42004.90248050451
2022-10-09 08:53:11,42004.9116002063
2022-10-09 08:53:12,42004.91997925556
2022-10-09 08:53:13,42004.92750001704
2022-10-09 08:53:14,42004.93405414885
2022-10-09 08:53:15,42004.93954689618
2022-10-09 08:53:16,42004.943915377924
2022-10-09 08:53:17,42004.94712567785
2022-10-09 08:53:18,42004.94916155941
2022-10-09 08:53:19,42004.95003540143
2022-10-09 08:53:20,42004.94978169857
2022-10-09 08:53:21,42004.94846406558
2022-10-09 08:53:22,42004.94617830514
2022-10-09 08:53:23,42004.94303887148
2022-10-09 08:53:24,42004.93917630379
2022-10-09 08:53:25,42004.93473098981
2022-10-09 08:53:26,42004.92984644918
2022-10-09 08:53:27,42004.92469177679
2022-10-09 08:53:28,42004.919449461966
2022-10-09 08:53:29,42004.91428048525
2022-10-09 08:53:30,42004.90933366949
2022-10-09 08:53:31,42004.90475285354
2022-10-09 08:53:32,42004.90067216662
2022-10-09 08:53:33,42004.89720443124
2022-10-09 08:53:34,42004.89443715978
2022-10-09 08:53:35,42004.892437652525
2022-10-09 08:53:36,42004.89125366636
2022-10-09 08:53:37,42004.89089521705
