Time,interpolated_magnetic_reading
2022-10-08 09:05:00,41984.955646462644
2022-10-08 09:05:01,41984.95602613296
2022-10-08 09:05:02,41984.95678793095
2022-10-08 09:05:03,41984.95793701123
2022-10-08 09:05:04,41984.95948115828
2022-10-08 09:05:05,41984.96143036053
2022-10-08 09:05:06,41984.96379638571
2022-10-08 09:05:07,41984.96659247256
2022-10-08 09:05:08,41984.96983272047
2022-10-08 09:05:09,41984.97353134136
2022-10-08 09:05:10,41984.97770228925
2022-10-08 09:05:11,41984.982358112655
2022-10-08 09:05:12,41984.98750849124
2022-10-08 09:05:13,41984.99315955896
2022-10-08 09:05:14,41984.99931299298
2022-10-08 09:05:15,41985.005964435535
2022-10-08 09:05:16,41985.013102136014
2022-10-08 09:05:17,41985.02070555922
2022-10-08 09:05:18,41985.028744285795
2022-10-08 09:05:19,41985.03717727503
2022-10-08 09:05:20,41985.04597167427
2022-10-08 09:05:21,41985.05566287114
2022-10-08 09:05:22,41985.07268246584
2022-10-08 09:05:23,41985.116815709334
2022-10-08 09:05:24,41985.18337826176
2022-10-08 09:05:25,41985.22707554773
2022-10-08 09:05:26,41985.243613350816
2022-10-08 09:05:27,41985.25304890251
2022-10-08 09:05:28,41985.26186259293
2022-10-08 09:05:29,41985.27055721719
2022-10-08 09:05:30,41985.27904650866
2022-10-08 09:05:31,41985.28723211258
2022-10-08 09:05:32,41985.295006768465
2022-10-08 09:05:33,41985.30226076264
2022-10-08 09:05:34,41985.30889695209
2022-10-08 09:05:35,41985.3148212037
2022-10-08 09:05:36,41985.319945578674
2022-10-08 09:05:37,41985.32419382347
2022-10-08 09:05:38,41985.32750183176
2022-10-08 09:05:39,41985.32983304498
2022-10-08 09:05:40,41985.33116825106
2022-10-08 09:05:41,41985.33149911059
2022-10-08 09:05:42,41985.33084001419
2022-10-08 09:05:43,41985.32922313898
2022-10-08 09:05:44,41985.32669666259
2022-10-08 09:05:45,41985.323329436345
2022-10-08 09:05:46,41985.3192088537
2022-10-08 09:05:47,41985.31443540739
2022-10-08 09:05:48,41985.30911581302
2022-10-08 09:05:49,41985.30336501955
2022-10-08 09:05:50,41985.29730390249
2022-10-08 09:05:51,41985.29105405034
2022-10-08 09:05:52,41985.28473467591
2022-10-08 09:05:53,41985.27845397673
2022-10-08 09:05:54,41985.272315298855
